השימוש	1093009412
 הראשון	1093079044
 המוכר	1093009412
 במונח	1093009472
 קפיטליזם	1093009408
 מופיע	6755401072246784
 אצל	524288
 תאקרי	2183528448
 בשנת	2168848448
 0	475136
 במשמעות	1095106624
 בעלות	1111883776
 על	524288
 הון	1093009408
 השימוש	1093009412
 המודרני	1092681732
 הרחב	1092681732
 הראשון	1093079044
 במונח	1093009472
 בא	2251808825999360
 בספר	1093009472
 הקפיטל	1093009412
 של	1966080
 קרל	655360
 מרקס	1093009472
 ופרידריך	655362
 אנגלס	655360
 המתייחס	15762600326987780
 למערכת	1095106624
 הייצור	1093009412
 הקפיטליסטית	1094778884
 ול	1093009408
 קפיטליסט	2166751232
 במובן	1093009472
 של	1966080
 בעלים	1109786624
 של	1966080
 אמצעי	2183528448
 הייצור	1093009412
 שימושם	114968777588736
 המקורי	1092681732
 של	1966080
 מרקס	1093009472
 ואנגלס	655360
 במונח	1093009472
 היה	562958563475456
 ככינוי	1093009472
 גנאי	2183528448
 מאקס	1093009472
 ובר	655362
 השתמש	15762607708110848
 בו	110707077545984
 בחיבורו	110570731077696
 הידוע	1093009412
 האתיקה	1095106564
 הפרוטסטנטית	1094778884
 ורוח	1095106562
 הקפיטליזם	1093009412
 אך	18014398509678592
 רק	131072
 לאחר	524288
 פרסום	1093009408
 ספרו	110570731077632
 של	1966080
 הכלכלן	1093009412
 ורנר	655360
 זומברט	655360
 קפיטליזם	1093009408
 מודרני	1092681728
 משנת	11259001775456256
 0	475136
 המונח	1093009412
 הפך	2251808825999360
 לתיאור	1093009472
 תפיסה	1095106560
 המנוגדת	1094778884
 לסוציאליזם	1093009472
 כיום	131072
 אף	6452019200
 שאדם	1093009664
 סמית	655360
 לא	327680
 השתמש	15762607708110848
 מעולם	131072
 במונח	1093009472
 קפיטליזם	1093009408
 ותיאר	11259008080740354
 את	262144
 המערכת	1095106564
 הכלכלית	1094778884
 המועדפת	9007200888029188
 עליו	110707077545984
 כ	524288
 מערכת	1095106560
 החירות	1095106564
 הטבעית	1094778884
 יש	1048576
 הרואים	1109786628
 בו	110707077545984
 אבי	576460752322953216
 הקפיטליזם	1093009412
 מאחר	36028797019160576
 שהמושג	1093009668
 קפיטליזם	1093009408
 נוצר	9007233789394944
 כחלק	1093009472
 מוויכוח	1093009472
 תאורטי	1073807360
 במדעי	2183528512
 החברה	1095106564
 קשה	131072
 לדבר	1093009472
 על	524288
 התאוריה	1095106560
 הקפיטליסטית	1094778884
 באופן	1093009472
 חד	1376256
 משמעי	2183528512
 בניתוח	1093009472
 הקפיטליזם	1093009412
 ניתן	557056000
 לדבר	1093009472
 על	524288
 שתי	2202476544
 גישות	1111883776
 מרכזיות	1111556096
 תיאורית	2168848384
 ונורמטיבית	1094778882
 הראשונה	1095176196
 אומרת	2251801446973440
 כי	36028797019160576
 תאוריה	655360
 קפיטליסטית	1094778880
 מגדירה	6755401074343936
 מה	983072
 צריך	557056000
 לעשות	2251851354144768
 כדי	1083310144
 להביא	6755450981515264
 להיווצרות	1095106624
 סדר	1093009408
 מתפתח	15762600326987776
 מאליו	110570747854912
 אך	18014398509678592
 אינו	1125926099943424
 עוסק	1093009408
 בהערכת	2168848448
 טיבם	114968777588736
 איכותם	114968779685888
 או	18014398509678592
 מידת	11259001775456256
 מוסריותם	114968779685888
 של	1966080
 השינויים	1109786628
 במלים	1111883840
 אחרות	1111556096
 הקפיטליזם	1093009412
 עוסק	1093009408
 במה	983136
 שיש	1310976
 ומה	983074
 שיכול	26326860032
 להיות	1093009472
 לא	327680
 במה	983136
 שצריך	557056256
 להיות	1093009472
 הגישה	6755408455467008
 הנורמטיבית	1094778884
 משעינה	111120488989184
 את	262144
 התאוריה	1095106560
 הקפיטליסטית	1094778884
 על	524288
 עקרונות	1109786624
 ליברליים	1109458944
 המסבירים	6755401089024004
 כיצד	131072
 ראוי	557056000
 ונכון	131074
